mass spectrum
=============
Data source: C:\users\taco\My Documents\fp1\07_Massenspektroskopie\data\Background.h5
Segment start index: 0
Segment end index: 0
Buf start index: 1
Buf end index: 1
Write start index: 0
Write end index: 0
Spectrum length: 150000 points (30 µs)

mass	tof (µs)	Average
0	0.1672	3.9867e-07
0	0.1674	4.98338e-07
0	0.1676	5.98005e-07
0	0.1678	1.99335e-07
0	0.168	9.96675e-08
0	0.1682	0
0	0.1684	0
0	0.1686	0
0	0.1688	0
0	0.169	0
0	0.1692	0
0	0.1694	0
0	0.1696	0
0	0.1698	0
0	0.17	0
0	0.1702	0
0	0.1704	8.97008e-07
0	0.1706	2.29235e-06
0	0.1708	2.29235e-06
0	0.171	2.09302e-06
0	0.1712	4.98338e-07
0	0.1714	9.96675e-08
0	0.1716	9.96675e-08
0	0.1718	9.96675e-08
0	0.172	0
0	0.1722	0
0	0.1724	0
0	0.1726	0
0	0.1728	0
0	0.173	0
0	0.1732	0
0	0.1734	0
0	0.1736	0
0	0.1738	1.99335e-07
0	0.174	9.96675e-07
0	0.1742	8.97008e-07
0	0.1744	5.98005e-07
0	0.1746	3.9867e-07
0	0.1748	1.99335e-07
0	0.175	0
0	0.1752	0
0	0.1754	9.96675e-08
0	0.1756	0
0	0.1758	0
0	0.176	0
0	0.1762	0
0	0.1764	0
0	0.1766	0
0	0.1768	0
0	0.177	0
0	0.1772	0
0	0.1774	0
0	0.1776	0
0	0.1778	0
0	0.178	0
0	0.1782	0
0	0.1784	9.96675e-08
0	0.1786	6.97673e-07
0	0.1788	2.09302e-06
0	0.179	7.9734e-07
0	0.1792	7.9734e-07
0	0.1794	4.98338e-07
0	0.1796	9.96675e-08
0	0.1798	0
0	0.18	0
0	0.1802	0
0	0.1804	4.98338e-07
0	0.1806	6.97673e-07
4.69286e-09	0.1808	0
3.266e-08	0.181	0
8.58123e-08	0.1812	3.9867e-07
1.6415e-07	0.1814	2.99003e-07
2.67672e-07	0.1816	3.9867e-07
3.96379e-07	0.1818	9.96675e-07
5.50272e-07	0.182	6.97673e-07
7.29349e-07	0.1822	6.07972e-06
9.33612e-07	0.1824	2.00332e-05
1.16306e-06	0.1826	2.60132e-05
1.41769e-06	0.1828	0.000116412
1.69751e-06	0.183	0.00891954
2.00251e-06	0.1832	0.101583
2.3327e-06	0.1834	0.239402
2.68807e-06	0.1836	0.16446
3.06863e-06	0.1838	0.0310697
3.47437e-06	0.184	0.000582856
3.9053e-06	0.1842	3.28903e-06
4.36142e-06	0.1844	1.99335e-07
4.84271e-06	0.1846	0
5.3492e-06	0.1848	1.99335e-07
5.88086e-06	0.185	9.96675e-08
6.43772e-06	0.1852	9.96675e-08
7.01976e-06	0.1854	0
7.62698e-06	0.1856	1.99335e-07
8.25939e-06	0.1858	0
8.91698e-06	0.186	9.96675e-08
9.59976e-06	0.1862	4.98338e-07
1.03077e-05	0.1864	8.97008e-07
1.10409e-05	0.1866	1.29568e-06
1.17992e-05	0.1868	1.02658e-05
1.25827e-05	0.187	0.00245262
1.33914e-05	0.1872	0.0224475
1.42253e-05	0.1874	0.024481
1.50844e-05	0.1876	0.00352614
1.59687e-05	0.1878	2.84052e-05
1.68781e-05	0.188	8.97008e-07
1.78127e-05	0.1882	9.96675e-08
1.87725e-05	0.1884	1.99335e-07
1.97575e-05	0.1886	9.96675e-08
2.07677e-05	0.1888	1.99335e-07
2.18031e-05	0.189	0
2.28636e-05	0.1892	0
2.39494e-05	0.1894	0
2.50603e-05	0.1896	1.99335e-07
2.61964e-05	0.1898	9.96675e-08
2.73577e-05	0.19	1.99335e-07
2.85442e-05	0.1902	0
2.97559e-05	0.1904	0
3.09927e-05	0.1906	9.96675e-08
3.22547e-05	0.1908	0
3.3542e-05	0.191	0
3.48544e-05	0.1912	9.96675e-08
3.6192e-05	0.1914	0
3.75547e-05	0.1916	0
