Buf/Write profile
=================
Data source: C:\users\taco\My Documents\fp1\07_Massenspektroskopie\data\Ex3.1.h5
Segment: 1 of 1
Number of profiles (masses): 5
Profile length: 374 points (374.99 s)

index	time (s)	nominal2 mass 42	nominal2 mass 45	nominal2 mass 59	nominal2 mass 61	nominal2 mass 154
239	240.247	0.000665779	0.00146471	0.000665779	0.000332889	0.000166445
240	241.251	0.000732357	0.00113182	0.000765646	0.000233023	6.65779e-05
241	242.256	0.000832224	0.00153129	0.000532623	0.000532623	3.32889e-05
242	243.263	0.000532623	0.00126498	0.000432756	0.000366178	0.000133156
243	244.27	0.000499334	0.0011984	0.000732357	0.000266312	0.000133156
244	245.275	0.000599201	0.00163116	0.000499334	0.000332889	6.65779e-05
245	246.28	0.000699068	0.00153129	0.000699068	0.000266312	6.65779e-05
246	247.284	0.000532623	0.0011984	0.000798935	0.000399467	0.000233023
247	248.29	0.000599201	0.000998668	0.000466045	0.000466045	9.98668e-05
248	249.294	0.000699068	0.000832224	0.000599201	0.000266312	0.000133156
249	250.299	0.000732357	0.00156458	0.000399467	0.000332889	0.000199734
250	251.303	0.000732357	0.00113182	0.000765646	0.000299601	0.000133156
251	252.309	0.000665779	0.00136485	0.000865513	0.000499334	0.000166445
252	253.315	0.000665779	0.00113182	0.000732357	0.000266312	0.000166445
253	254.32	0.000665779	0.00133156	0.000898802	0.000332889	0.000133156
254	255.325	0.000798935	0.00143142	0.000565912	0.000466045	9.98668e-05
255	256.33	0.000332889	0.00139814	0.000532623	0.000299601	3.32889e-05
256	257.337	0.000532623	0.00153129	0.000599201	0.000432756	9.98668e-05
257	258.34	0.000765646	0.00133156	0.000499334	0.000266312	9.98668e-05
258	259.348	0.000332889	0.00106525	0.00063249	0.000266312	6.65779e-05
259	260.352	0.00063249	0.0017976	0.000332889	0.000199734	0.000233023
260	261.358	0.000432756	0.0017976	0.000466045	0.000299601	9.98668e-05
261	262.363	0.00063249	0.00123169	0.000532623	0.000332889	0.000133156
262	263.368	0.000765646	0.00153129	0.000499334	0.000199734	6.65779e-05
263	264.374	0.000665779	0.00106525	0.000565912	0.000266312	9.98668e-05
264	265.378	0.000565912	0.00133156	0.000798935	0.000332889	0.000199734
265	266.384	0.000665779	0.00136485	0.000965379	0.000399467	0.000133156
266	267.389	0.000798935	0.00116511	0.000898802	0.000266312	6.65779e-05
267	268.395	0.000732357	0.00136485	0.000699068	0.000233023	6.65779e-05
268	269.403	0.000898802	0.00143142	0.000399467	0.000432756	0.000166445
269	270.409	0.000932091	0.00133156	0.000432756	0.000332889	0.000166445
270	271.413	0.000732357	0.00129827	0.000499334	0.000366178	0.000199734
271	272.418	0.000366178	0.001498	0.000532623	0.000199734	0.000133156
272	273.424	0.000565912	0.0011984	0.000599201	0.000166445	6.65779e-05
273	274.43	0.000732357	0.00156458	0.000532623	0.000266312	0.000133156
274	275.436	0.000765646	0.00129827	0.000565912	0.000532623	0.000166445
275	276.442	0.000565912	0.001498	0.000366178	0.000299601	0.000166445
276	277.447	0.000399467	0.00139814	0.000532623	0.000332889	6.65779e-05
277	278.454	0.000432756	0.00139814	0.000665779	0.000299601	3.32889e-05
278	279.461	0.000765646	0.00106525	0.000532623	0.000266312	9.98668e-05
279	280.468	0.000665779	0.00136485	0.000532623	0.000332889	9.98668e-05
280	281.474	0.000765646	0.00103196	0.000732357	0.000233023	9.98668e-05
281	282.48	0.000665779	0.00136485	0.000466045	0.000266312	0.000233023
282	283.483	0.000499334	0.00166445	0.000699068	0.000266312	0.000133156
283	284.488	0.000832224	0.00146471	0.000732357	0.000299601	0.000266312
284	285.494	0.000599201	0.00159787	0.000532623	0.000266312	0.000233023
285	286.499	0.000665779	0.00163116	0.00063249	0.000332889	0.000233023
286	287.505	0.000432756	0.00163116	0.000699068	0.000199734	0.000233023
287	288.511	0.000665779	0.00136485	0.000499334	0.000399467	0.000133156
288	289.514	0.000932091	0.00163116	0.00063249	0.000399467	0.000133156
289	290.52	0.000765646	0.000932091	0.000399467	0.000432756	6.65779e-05
290	291.528	0.000699068	0.00126498	0.000366178	0.000366178	0.000233023
291	292.536	0.000565912	0.00109854	0.000832224	0.000332889	0.000233023
292	293.54	0.000798935	0.001498	0.000366178	0.000532623	0.000166445
293	294.543	0.000699068	0.0017976	0.000665779	0.000166445	0.000199734
294	295.549	0.000665779	0.00129827	0.000532623	0.000399467	0.000166445
295	296.554	0.000665779	0.00129827	0.000732357	0.000199734	6.65779e-05
296	297.558	0.000765646	0.00203063	0.000665779	0.000466045	0.000199734
297	298.564	0.000765646	0.00139814	0.000432756	0.000432756	9.98668e-05
298	299.569	0.000832224	0.00136485	0.000665779	0.000366178	0.000199734
299	300.575	0.000798935	0.00109854	0.000499334	0.000432756	0.000199734
300	301.58	0.000898802	0.000998668	0.000565912	0.000233023	9.98668e-05
301	302.586	0.000565912	0.0011984	0.000366178	0.000366178	3.32889e-05
302	303.591	0.000565912	0.00133156	0.000532623	0.000532623	0.000166445
303	304.597	0.000699068	0.00146471	0.000798935	0.000332889	0.000133156
304	305.602	0.000665779	0.00126498	0.00063249	0.000299601	0.000133156
305	306.606	0.000898802	0.00126498	0.00063249	0.000299601	0.000266312
306	307.611	0.000898802	0.0011984	0.000565912	0.000366178	6.65779e-05
307	308.617	0.000898802	0.00129827	0.000765646	0.000466045	9.98668e-05
308	309.624	0.000932091	0.00136485	0.000532623	0.000399467	0.000266312
309	310.628	0.000466045	0.00129827	0.000665779	0.000166445	0.000266312
310	311.632	0.000832224	0.00139814	0.000366178	0.000466045	0.000266312
311	312.636	0.000532623	0.00126498	0.000599201	0.000299601	0.000133156
312	313.641	0.000599201	0.00123169	0.000599201	0.000166445	0.000166445
313	314.647	0.000599201	0.00126498	0.000466045	0.000399467	0.000266312
314	315.653	0.000832224	0.00166445	0.000599201	0.000332889	0.000133156
315	316.66	0.000699068	0.00153129	0.000366178	0.000299601	0.000133156
316	317.666	0.000599201	0.00146471	0.000965379	0.000266312	0.000266312
317	318.673	0.000665779	0.00153129	0.000798935	0.000366178	0.000199734
318	319.68	0.000865513	0.001498	0.000466045	0.000299601	0.000133156
319	320.686	0.000565912	0.00126498	0.000432756	0.000399467	6.65779e-05
320	321.693	0.000466045	0.001498	0.000898802	0.000432756	0.000199734
321	322.697	0.000699068	0.00123169	0.000532623	0.000166445	9.98668e-05
322	323.702	0.000532623	0.00146471	0.000699068	0.000332889	0.000133156
323	324.709	0.000565912	0.00139814	0.000599201	0.000299601	0.000199734
324	325.716	0.00063249	0.00183089	0.00063249	0.000332889	9.98668e-05
325	326.72	0.000699068	0.00139814	0.000665779	0.000133156	9.98668e-05
326	327.726	0.000865513	0.00136485	0.000565912	0.000266312	0.000199734
327	328.731	0.000699068	0.00143142	0.000665779	0.000366178	3.32889e-05
328	329.736	0.000699068	0.00136485	0.00063249	0.000432756	0
329	330.741	0.000699068	0.00159787	0.000599201	0.000299601	0.000166445
330	331.746	0.000798935	0.00126498	0.000665779	0.000233023	0.000199734
331	332.751	0.000466045	0.00136485	0.000798935	0.000233023	0.000233023
332	333.757	0.000565912	0.00153129	0.000432756	0.000299601	0.000133156
333	334.763	0.000732357	0.0011984	0.00063249	0.000233023	0.000199734
334	335.769	0.000565912	0.00126498	0.000499334	0.000466045	0.000133156
335	336.773	0.000765646	0.0017976	0.000599201	0.000299601	0.000166445
336	337.779	0.00106525	0.001498	0.000798935	0.000233023	9.98668e-05
337	338.782	0.000466045	0.00146471	0.000532623	0.000299601	0.000166445
338	339.788	0.000565912	0.00116511	0.000499334	0.000366178	0.000133156
339	340.793	0.000699068	0.00163116	0.000599201	0.000266312	0.000199734
340	341.8	0.000798935	0.00113182	0.00063249	0.000233023	0.000233023
341	342.804	0.00063249	0.00139814	0.000565912	0.000332889	9.98668e-05
342	343.809	0.000965379	0.00156458	0.000532623	0.000399467	0.000166445
343	344.815	0.000898802	0.00143142	0.000832224	0.000399467	0.000133156
344	345.822	0.000998668	0.00116511	0.000499334	0.000399467	0.000266312
345	346.827	0.000732357	0.00126498	0.000665779	0.000332889	0.000266312
346	347.832	0.000998668	0.00159787	0.000732357	0.000233023	0.000166445
347	348.836	0.000699068	0.00159787	0.000432756	0.000366178	0.000199734
348	349.842	0.000965379	0.00143142	0.000765646	0.000466045	6.65779e-05
349	350.849	0.000865513	0.00163116	0.000499334	0.000366178	0.000233023
350	351.853	0.000699068	0.00139814	0.000798935	0.000266312	9.98668e-05
351	352.859	0.000565912	0.00159787	0.000366178	0.000499334	9.98668e-05
352	353.864	0.000665779	0.00159787	0.000765646	0.000432756	9.98668e-05
353	354.87	0.000732357	0.00103196	0.000665779	0.000266312	0.000266312
354	355.876	0.000832224	0.00156458	0.000599201	0.000466045	0.000199734
355	356.884	0.000732357	0.00129827	0.000932091	0.000199734	0.000199734
356	357.887	0.000732357	0.00153129	0.000599201	0.000366178	0.000332889
357	358.892	0.000798935	0.00199734	0.000466045	0.000466045	9.98668e-05
358	359.898	0.000798935	0.00133156	0.00063249	0.000399467	3.32889e-05
359	360.903	0.000299601	0.00103196	0.000665779	0.000532623	0.000199734
360	361.912	0.000798935	0.00133156	0.000665779	0.000466045	0.000233023
361	362.919	0.000732357	0.00146471	0.000532623	0.000399467	0.000133156
362	363.924	0.000466045	0.00163116	0.000499334	0.000266312	9.98668e-05
363	364.929	0.000765646	0.00166445	0.00063249	0.000266312	0.000166445
364	365.934	0.000532623	0.001498	0.000466045	0.000399467	6.65779e-05
365	366.941	0.000898802	0.00143142	0.000699068	0.000332889	9.98668e-05
