mass spectrum
=============
Data source: C:\users\taco\My Documents\fp1\07_Massenspektroskopie\data\Ex2.2.h5
Segment start index: 0
Segment end index: 0
Buf start index: 1
Buf end index: 1
Write start index: 0
Write end index: 0
Spectrum length: 150000 points (30 µs)

mass	tof (µs)	Average
0	0.0952	0
0	0.0954	2.77408e-07
0	0.0956	5.54816e-07
0	0.0958	0
0	0.096	1.10963e-06
0	0.0962	2.77408e-07
0	0.0964	5.54816e-07
0	0.0966	0
0	0.0968	8.32224e-07
0	0.097	1.10963e-06
0	0.0972	2.77408e-07
0	0.0974	0
0	0.0976	2.77408e-07
0	0.0978	0
0	0.098	5.54816e-07
0	0.0982	5.54816e-07
0	0.0984	5.54816e-07
0	0.0986	5.54816e-07
0	0.0988	5.54816e-07
0	0.099	0
0	0.0992	2.77408e-07
0	0.0994	0
0	0.0996	1.10963e-06
0	0.0998	8.32224e-07
0	0.1	8.32224e-07
0	0.1002	0
0	0.1004	0
0	0.1006	2.77408e-07
0	0.1008	2.77408e-07
0	0.101	0
0	0.1012	5.54816e-07
0	0.1014	2.77408e-07
0	0.1016	5.54816e-07
0	0.1018	0
0	0.102	2.77408e-07
0	0.1022	8.32224e-07
0	0.1024	0
0	0.1026	2.77408e-07
0	0.1028	2.77408e-07
0	0.103	0
0	0.1032	2.77408e-07
0	0.1034	2.77408e-07
0	0.1036	0
0	0.1038	0
0	0.104	2.77408e-07
0	0.1042	2.77408e-07
0	0.1044	2.77408e-07
0	0.1046	0
0	0.1048	8.32224e-07
0	0.105	0
0	0.1052	2.77408e-07
0	0.1054	2.77408e-07
0	0.1056	5.54816e-07
0	0.1058	0
0	0.106	5.54816e-07
0	0.1062	0
0	0.1064	2.77408e-07
0	0.1066	5.54816e-07
0	0.1068	2.77408e-07
0	0.107	0
0	0.1072	2.77408e-07
0	0.1074	5.54816e-07
0	0.1076	5.54816e-07
0	0.1078	2.77408e-07
0	0.108	5.54816e-07
0	0.1082	8.32224e-07
0	0.1084	0
0	0.1086	0
0	0.1088	1.10963e-06
0	0.109	0
0	0.1092	2.77408e-07
0	0.1094	5.54816e-07
0	0.1096	5.54816e-07
0	0.1098	0
0	0.11	8.32224e-07
0	0.1102	2.77408e-07
0	0.1104	2.77408e-07
0	0.1106	0
0	0.1108	2.77408e-07
0	0.111	5.54816e-07
0	0.1112	0
0	0.1114	5.54816e-07
0	0.1116	0
0	0.1118	5.54816e-07
0	0.112	0
0	0.1122	0
0	0.1124	0
0	0.1126	5.54816e-07
0	0.1128	0
0	0.113	2.77408e-07
0	0.1132	5.54816e-07
0	0.1134	5.54816e-07
0	0.1136	8.32224e-07
0	0.1138	0
0	0.114	5.54816e-07
0	0.1142	5.54816e-07
0	0.1144	5.54816e-07
0	0.1146	5.54816e-07
0	0.1148	2.77408e-07
0	0.115	5.54816e-07
0	0.1152	0
0	0.1154	0
0	0.1156	2.77408e-07
0	0.1158	0
0	0.116	0
0	0.1162	0
0	0.1164	2.77408e-07
0	0.1166	2.77408e-07
0	0.1168	0
0	0.117	0
0	0.1172	2.77408e-07
0	0.1174	0
0	0.1176	2.77408e-07
0	0.1178	0
0	0.118	0
0	0.1182	5.54816e-07
0	0.1184	0
0	0.1186	0
0	0.1188	2.77408e-07
0	0.119	0
0	0.1192	2.77408e-07
0	0.1194	2.77408e-07
0	0.1196	5.54816e-07
0	0.1198	5.54816e-07
0	0.12	5.54816e-07
0	0.1202	2.77408e-07
0	0.1204	2.77408e-07
0	0.1206	2.77408e-07
0	0.1208	0
0	0.121	8.32224e-07
0	0.1212	0
0	0.1214	2.77408e-07
0	0.1216	2.77408e-07
0	0.1218	0
0	0.122	1.10963e-06
0	0.1222	2.77408e-07
0	0.1224	5.54816e-07
0	0.1226	0
0	0.1228	2.77408e-07
0	0.123	1.10963e-06
0	0.1232	0
0	0.1234	5.54816e-07
0	0.1236	5.54816e-07
0	0.1238	8.32224e-07
0	0.124	2.77408e-07
0	0.1242	5.54816e-07
0	0.1244	2.77408e-07
0	0.1246	0
0	0.1248	2.77408e-07
0	0.125	5.54816e-07
0	0.1252	2.77408e-07
0	0.1254	2.77408e-07
0	0.1256	2.77408e-07
0	0.1258	0
0	0.126	0
0	0.1262	0
0	0.1264	5.54816e-07
0	0.1266	0
0	0.1268	0
0	0.127	8.32224e-07
0	0.1272	2.77408e-07
0	0.1274	5.54816e-07
0	0.1276	0
0	0.1278	0
0	0.128	2.77408e-07
0	0.1282	5.54816e-07
0	0.1284	0
0	0.1286	2.77408e-07
0	0.1288	2.77408e-07
0	0.129	5.54816e-07
0	0.1292	0
0	0.1294	0
0	0.1296	2.77408e-07
0	0.1298	2.77408e-07
0	0.13	5.54816e-07
0	0.1302	2.77408e-07
0	0.1304	2.77408e-07
0	0.1306	5.54816e-07
0	0.1308	0
0	0.131	2.77408e-07
0	0.1312	5.54816e-07
0	0.1314	5.54816e-07
0	0.1316	2.77408e-07
0	0.1318	8.32224e-07
0	0.132	2.77408e-07
0	0.1322	8.32224e-07
0	0.1324	8.32224e-07
0	0.1326	8.32224e-07
0	0.1328	2.77408e-07
0	0.133	5.54816e-07
0	0.1332	5.54816e-07
0	0.1334	2.77408e-07
0	0.1336	5.54816e-07
0	0.1338	0
0	0.134	0
0	0.1342	1.10963e-06
0	0.1344	0
0	0.1346	8.32224e-07
0	0.1348	0
0	0.135	0
0	0.1352	2.77408e-07
0	0.1354	0
0	0.1356	5.54816e-07
0	0.1358	1.10963e-06
0	0.136	5.54816e-07
0	0.1362	0
0	0.1364	0
0	0.1366	2.77408e-07
0	0.1368	0
0	0.137	2.77408e-07
0	0.1372	0
0	0.1374	0
0	0.1376	8.32224e-07
0	0.1378	5.54816e-07
0	0.138	8.32224e-07
0	0.1382	2.77408e-07
0	0.1384	2.77408e-07
0	0.1386	5.54816e-07
0	0.1388	2.77408e-07
0	0.139	2.77408e-07
0	0.1392	5.54816e-07
0	0.1394	0
0	0.1396	2.77408e-07
0	0.1398	2.77408e-07
0	0.14	5.54816e-07
0	0.1402	0
0	0.1404	8.32224e-07
0	0.1406	0
0	0.1408	0
0	0.141	5.54816e-07
0	0.1412	0
0	0.1414	0
0	0.1416	2.77408e-07
0	0.1418	5.54816e-07
0	0.142	5.54816e-07
0	0.1422	8.32224e-07
0	0.1424	0
0	0.1426	0
0	0.1428	5.54816e-07
0	0.143	8.32224e-07
0	0.1432	2.77408e-07
0	0.1434	0
0	0.1436	5.54816e-07
0	0.1438	0
0	0.144	5.54816e-07
0	0.1442	0
0	0.1444	0
0	0.1446	5.54816e-07
0	0.1448	0
0	0.145	5.54816e-07
0	0.1452	1.38704e-06
0	0.1454	2.77408e-07
0	0.1456	0
0	0.1458	2.77408e-07
0	0.146	0
0	0.1462	8.32224e-07
0	0.1464	0
0	0.1466	0
0	0.1468	0
0	0.147	2.77408e-07
0	0.1472	2.77408e-07
0	0.1474	5.54816e-07
0	0.1476	0
0	0.1478	2.77408e-07
0	0.148	0
0	0.1482	0
0	0.1484	0
0	0.1486	2.77408e-07
0	0.1488	5.54816e-07
0	0.149	0
0	0.1492	2.77408e-07
0	0.1494	2.77408e-07
0	0.1496	1.38704e-06
0	0.1498	0
0	0.15	2.77408e-07
0	0.1502	2.77408e-07
0	0.1504	1.38704e-06
0	0.1506	2.77408e-07
0	0.1508	2.77408e-07
0	0.151	0
0	0.1512	2.77408e-07
0	0.1514	0
0	0.1516	8.32224e-07
0	0.1518	0
0	0.152	2.77408e-07
0	0.1522	0
0	0.1524	2.77408e-07
0	0.1526	1.10963e-06
0	0.1528	5.54816e-07
0	0.153	2.77408e-07
0	0.1532	2.77408e-07
0	0.1534	0
0	0.1536	2.77408e-07
0	0.1538	0
0	0.154	2.77408e-07
0	0.1542	2.77408e-07
0	0.1544	0
0	0.1546	2.77408e-07
0	0.1548	0
0	0.155	8.32224e-07
0	0.1552	8.32224e-07
0	0.1554	0
0	0.1556	0
0	0.1558	2.77408e-07
0	0.156	0
0	0.1562	2.77408e-07
0	0.1564	5.54816e-07
0	0.1566	2.77408e-07
0	0.1568	2.77408e-07
0	0.157	5.54816e-07
0	0.1572	5.54816e-07
0	0.1574	2.77408e-07
0	0.1576	2.77408e-07
0	0.1578	2.77408e-07
0	0.158	2.77408e-07
