mass spectrum
=============
Data source: C:\users\taco\My Documents\fp1\07_Massenspektroskopie\data\Ex3.1.h5
Segment start index: 0
Segment end index: 0
Buf start index: 0
Buf end index: 1
Write start index: 0
Write end index: 30
Spectrum length: 150000 points (30 µs)

mass	tof (µs)	Combined
0	0.1592	2.20137e-05
0	0.1594	0.000260942
0	0.1596	0.10649
0	0.1598	0.704823
0	0.16	0.181928
0	0.1602	0.00452837
0	0.1604	0.000130471
0	0.1606	1.55706e-05
0	0.1608	1.07384e-06
0	0.161	5.36918e-07
0	0.1612	0
0	0.1614	0
0	0.1616	0
0	0.1618	5.36918e-07
0	0.162	0
0	0.1622	0
0	0.1624	0
0	0.1626	1.07384e-06
0	0.1628	1.87921e-05
0	0.163	1.77183e-05
0	0.1632	1.2886e-05
0	0.1634	3.75843e-06
0	0.1636	2.68459e-06
0	0.1638	5.36918e-07
0	0.164	0
0	0.1642	0
0	0.1644	0
0	0.1646	0
0	0.1648	0
0	0.165	0
0	0.1652	0
0	0.1654	0
0	0.1656	0
0	0.1658	0
0	0.166	0
0	0.1662	0
0	0.1664	0
0	0.1666	0
0	0.1668	0
0	0.167	5.36918e-07
0	0.1672	5.36918e-07
0	0.1674	0
0	0.1676	0
0	0.1678	0
0	0.168	0
0	0.1682	0
0	0.1684	0
0	0.1686	0
0	0.1688	0
0	0.169	0
0	0.1692	0
0	0.1694	0
0	0.1696	0
0	0.1698	0
0	0.17	0
0	0.1702	0
0	0.1704	1.07384e-06
0	0.1706	3.22151e-06
0	0.1708	3.22151e-06
0	0.171	3.75843e-06
0	0.1712	3.75843e-06
0	0.1714	5.36918e-07
0	0.1716	5.36918e-07
0	0.1718	0
0	0.172	0
0	0.1722	0
0	0.1724	0
0	0.1726	0
0	0.1728	0
0	0.173	0
0	0.1732	0
0	0.1734	0
0	0.1736	0
0	0.1738	0
0	0.174	0
0	0.1742	1.61076e-06
0	0.1744	2.68459e-06
0	0.1746	0
0	0.1748	1.07384e-06
0	0.175	0
0	0.1752	0
0	0.1754	0
0	0.1756	0
0	0.1758	0
0	0.176	5.36918e-07
0	0.1762	0
0	0.1764	0
0	0.1766	0
0	0.1768	0
0	0.177	0
0	0.1772	0
0	0.1774	0
0	0.1776	0
0	0.1778	0
0	0.178	0
0	0.1782	0
0	0.1784	0
0	0.1786	1.07384e-06
0	0.1788	1.61076e-06
0	0.179	2.14767e-06
0	0.1792	1.61076e-06
0	0.1794	1.07384e-06
0	0.1796	5.36918e-07
0	0.1798	0
0	0.18	0
0	0.1802	0
0	0.1804	0
0	0.1806	0
0	0.1808	5.36918e-07
0	0.181	5.36918e-07
8.22808e-09	0.1812	0
4.11785e-08	0.1814	0
9.93138e-08	0.1816	1.61076e-06
1.82634e-07	0.1818	0
2.91139e-07	0.182	2.68459e-06
4.24829e-07	0.1822	5.36918e-07
5.83704e-07	0.1824	1.3423e-05
7.67763e-07	0.1826	4.18796e-05
9.77008e-07	0.1828	4.13427e-05
1.21144e-06	0.183	0.000322151
1.47105e-06	0.1832	0.0291192
1.75585e-06	0.1834	0.192296
2.06583e-06	0.1836	0.241841
2.401e-06	0.1838	0.0809271
2.76136e-06	0.184	0.00404783
3.1469e-06	0.1842	1.23491e-05
3.55762e-06	0.1844	2.14767e-06
3.99353e-06	0.1846	0
4.45462e-06	0.1848	0
4.9409e-06	0.185	0
5.45236e-06	0.1852	1.07384e-06
5.98901e-06	0.1854	1.07384e-06
6.55084e-06	0.1856	0
7.13786e-06	0.1858	0
7.75006e-06	0.186	5.36918e-07
8.38745e-06	0.1862	0
9.05002e-06	0.1864	0
9.73778e-06	0.1866	1.61076e-06
1.04507e-05	0.1868	2.14767e-06
1.11889e-05	0.187	0.000136377
1.19522e-05	0.1872	0.0141698
1.27407e-05	0.1874	0.0460102
1.35543e-05	0.1876	0.013823
1.43932e-05	0.1878	0.000295842
1.52573e-05	0.188	3.22151e-06
1.61465e-05	0.1882	0
1.70609e-05	0.1884	0
1.80005e-05	0.1886	5.36918e-07
1.89653e-05	0.1888	0
1.99553e-05	0.189	0
2.09705e-05	0.1892	0
2.20108e-05	0.1894	0
2.30763e-05	0.1896	0
2.4167e-05	0.1898	0
2.52829e-05	0.19	0
2.6424e-05	0.1902	5.36918e-07
2.75903e-05	0.1904	5.36918e-07
2.87818e-05	0.1906	0
2.99984e-05	0.1908	5.36918e-07
3.12402e-05	0.191	0
3.25072e-05	0.1912	0
3.37994e-05	0.1914	0
3.51168e-05	0.1916	0
3.64594e-05	0.1918	0
3.78271e-05	0.192	0
3.922e-05	0.1922	0
4.06382e-05	0.1924	0
4.20815e-05	0.1926	0
4.355e-05	0.1928	0
4.50436e-05	0.193	0
4.65625e-05	0.1932	0
4.81065e-05	0.1934	0
4.96758e-05	0.1936	0
5.12702e-05	0.1938	0
5.28898e-05	0.194	0
5.45346e-05	0.1942	0
5.62045e-05	0.1944	0
5.78997e-05	0.1946	0
5.962e-05	0.1948	0
6.13655e-05	0.195	0
6.31362e-05	0.1952	5.36918e-07
6.49321e-05	0.1954	0
6.67532e-05	0.1956	0
6.85995e-05	0.1958	0
7.04709e-05	0.196	0
7.23676e-05	0.1962	0
7.42894e-05	0.1964	0
7.62364e-05	0.1966	0
7.82086e-05	0.1968	0
8.02059e-05	0.197	0
8.22285e-05	0.1972	5.36918e-07
8.42762e-05	0.1974	0
8.63491e-05	0.1976	5.36918e-07
8.84473e-05	0.1978	0
9.05706e-05	0.198	0
9.2719e-05	0.1982	0
9.48927e-05	0.1984	5.36918e-07
9.70915e-05	0.1986	0
9.93156e-05	0.1988	0
0.000101565	0.199	0
0.000103839	0.1992	0
0.000106139	0.1994	0
0.000108464	0.1996	0
0.000110814	0.1998	0
0.000113189	0.2	0
0.000115589	0.2002	5.36918e-07
0.000118015	0.2004	0
0.000120465	0.2006	0
0.000122941	0.2008	0
0.000125442	0.201	0
0.000127968	0.2012	1.07384e-06
0.00013052	0.2014	0
0.000133096	0.2016	0
0.000135698	0.2018	0
0.000138325	0.202	0
0.000140977	0.2022	0
0.000143655	0.2024	0
0.000146357	0.2026	0
0.000149085	0.2028	0
0.000151838	0.203	0
0.000154616	0.2032	0
0.000157419	0.2034	0
0.000160248	0.2036	0
0.000163102	0.2038	5.36918e-07
0.00016598	0.204	5.36918e-07
0.000168884	0.2042	0
0.000171814	0.2044	0
0.000174768	0.2046	5.36918e-07
0.000177748	0.2048	0
0.000180752	0.205	5.36918e-07
0.000183782	0.2052	0
0.000186837	0.2054	5.36918e-07
0.000189918	0.2056	0
0.000193023	0.2058	0
0.000196154	0.206	5.36918e-07
0.00019931	0.2062	1.07384e-06
0.000202491	0.2064	5.36918e-07
0.000205697	0.2066	0
0.000208929	0.2068	5.36918e-07
0.000212185	0.207	0
0.000215467	0.2072	0
0.000218774	0.2074	0
0.000222106	0.2076	0
0.000225464	0.2078	0
0.000228846	0.208	5.36918e-07
0.000232254	0.2082	0
0.000235687	0.2084	0
0.000239145	0.2086	0
0.000242628	0.2088	0
0.000246137	0.209	0
0.00024967	0.2092	0
0.000253229	0.2094	5.36918e-07
0.000256813	0.2096	0
0.000260422	0.2098	5.36918e-07
0.000264057	0.21	2.68459e-06
0.000267716	0.2102	5.36918e-07
0.000271401	0.2104	5.36918e-07
0.000275111	0.2106	5.36918e-07
0.000278846	0.2108	0
0.000282606	0.211	0
0.000286392	0.2112	1.07384e-06
0.000290203	0.2114	0
0.000294038	0.2116	5.36918e-07
0.000297899	0.2118	0
0.000301786	0.212	1.07384e-06
0.000305697	0.2122	5.36918e-07
0.000309634	0.2124	0
0.000313595	0.2126	0
0.000317582	0.2128	0
0.000321595	0.213	5.36918e-07
0.000325632	0.2132	1.07384e-06
0.000329694	0.2134	0
0.000333782	0.2136	5.36918e-07
0.000337895	0.2138	5.36918e-07
0.000342033	0.214	5.36918e-07
0.000346196	0.2142	0
0.000350385	0.2144	1.07384e-06
0.000354599	0.2146	5.36918e-07
0.000358837	0.2148	0
0.000363101	0.215	1.07384e-06
0.000367391	0.2152	0
0.000371705	0.2154	0
0.000376045	0.2156	0
0.000380409	0.2158	0
0.000384799	0.216	0
0.000389214	0.2162	0
0.000393655	0.2164	1.07384e-06
0.00039812	0.2166	1.07384e-06
0.000402611	0.2168	1.07384e-06
0.000407127	0.217	0
0.000411668	0.2172	0
0.000416234	0.2174	0
0.000420825	0.2176	0
0.000425442	0.2178	1.07384e-06
0.000430084	0.218	0
0.000434751	0.2182	0
0.000439443	0.2184	0
0.00044416	0.2186	5.36918e-07
0.000448903	0.2188	0
0.00045367	0.219	0
0.000458463	0.2192	0
0.000463281	0.2194	0
0.000468125	0.2196	0
0.000472993	0.2198	5.36918e-07
0.000477887	0.22	0
0.000482806	0.2202	0
0.00048775	0.2204	5.36918e-07
0.000492719	0.2206	0
0.000497713	0.2208	5.36918e-07
0.000502733	0.221	5.36918e-07
