mass spectrum
=============
Data source: C:\users\taco\Documents\fp1\07_Massenspektroskopie\data\Ex3.2.h5
Segment start index: 0
Segment end index: 0
Buf start index: 1
Buf end index: 1
Write start index: 110
Write end index: 161
Spectrum length: 150000 points (30 µs)

mass	tof (µs)	Combined
0	0.1526	6.46387e-07
0	0.1528	3.23194e-07
0	0.153	3.23194e-07
0	0.1532	6.46387e-07
0	0.1534	3.23194e-07
0	0.1536	6.46387e-07
0	0.1538	6.46387e-07
0	0.154	6.46387e-07
0	0.1542	0
0	0.1544	3.23194e-07
0	0.1546	6.46387e-07
0	0.1548	3.23194e-07
0	0.155	3.23194e-07
0	0.1552	6.46387e-07
0	0.1554	0
0	0.1556	6.46387e-07
0	0.1558	6.46387e-07
0	0.156	3.23194e-07
0	0.1562	3.23194e-07
0	0.1564	0
0	0.1566	3.23194e-07
0	0.1568	0
0	0.157	0
0	0.1572	9.69581e-07
0	0.1574	0
0	0.1576	3.23194e-07
0	0.1578	3.23194e-07
0	0.158	1.29277e-06
0	0.1582	3.23194e-07
0	0.1584	0
0	0.1586	3.23194e-07
0	0.1588	6.46387e-07
0	0.159	2.26236e-06
0	0.1592	2.39163e-05
0	0.1594	1.93916e-05
0	0.1596	0.00231051
0	0.1598	0.303567
0	0.16	0.639195
0	0.1602	0.0524353
0	0.1604	0.000724277
0	0.1606	2.74715e-05
0	0.1608	1.61597e-06
0	0.161	0
0	0.1612	0
0	0.1614	0
0	0.1616	0
0	0.1618	0
0	0.162	0
0	0.1622	0
0	0.1624	0
0	0.1626	0
0	0.1628	3.23194e-07
0	0.163	8.07984e-06
0	0.1632	1.48669e-05
0	0.1634	7.75665e-06
0	0.1636	6.46387e-06
0	0.1638	3.23194e-07
0	0.164	1.29277e-06
0	0.1642	6.46387e-07
0	0.1644	0
0	0.1646	0
0	0.1648	0
0	0.165	0
0	0.1652	0
0	0.1654	0
0	0.1656	0
0	0.1658	0
0	0.166	0
0	0.1662	0
0	0.1664	0
0	0.1666	0
0	0.1668	0
0	0.167	0
0	0.1672	6.46387e-07
0	0.1674	3.23194e-07
0	0.1676	6.46387e-07
0	0.1678	6.46387e-07
0	0.168	0
0	0.1682	0
0	0.1684	0
0	0.1686	0
0	0.1688	0
0	0.169	0
0	0.1692	0
0	0.1694	0
0	0.1696	0
0	0.1698	0
0	0.17	0
0	0.1702	0
0	0.1704	0
0	0.1706	6.46387e-07
0	0.1708	2.90874e-06
0	0.171	6.78707e-06
0	0.1712	9.04942e-06
0	0.1714	1.29277e-06
0	0.1716	3.23194e-07
0	0.1718	0
0	0.172	0
0	0.1722	0
0	0.1724	0
0	0.1726	0
0	0.1728	0
0	0.173	0
0	0.1732	0
0	0.1734	0
0	0.1736	0
0	0.1738	0
0	0.174	0
0	0.1742	1.29277e-06
0	0.1744	2.26236e-06
0	0.1746	1.61597e-06
0	0.1748	3.23194e-07
0	0.175	6.46387e-07
0	0.1752	9.69581e-07
0	0.1754	3.23194e-07
0	0.1756	0
0	0.1758	0
0	0.176	0
0	0.1762	0
0	0.1764	0
0	0.1766	0
0	0.1768	0
0	0.177	0
0	0.1772	0
0	0.1774	0
0	0.1776	0
0	0.1778	0
0	0.178	0
0	0.1782	0
0	0.1784	0
0	0.1786	0
0	0.1788	3.23194e-07
0	0.179	2.26236e-06
0	0.1792	1.61597e-06
0	0.1794	2.58555e-06
0	0.1796	3.23194e-07
0	0.1798	6.46387e-07
0	0.18	0
0	0.1802	0
0	0.1804	0
0	0.1806	0
0	0.1808	1.29277e-06
0	0.181	6.46387e-07
0	0.1812	9.69581e-07
8.9903e-09	0.1814	6.46387e-07
4.28629e-08	0.1816	9.69581e-07
1.0192e-07	0.1818	1.61597e-06
1.86163e-07	0.182	6.46387e-07
2.95591e-07	0.1822	0
4.30203e-07	0.1824	9.69581e-07
5.90001e-07	0.1826	3.23194e-06
7.74983e-07	0.1828	1.26045e-05
9.85151e-07	0.183	1.06654e-05
1.2205e-06	0.1832	0.000520988
1.48104e-06	0.1834	0.0343645
1.76676e-06	0.1836	0.18234
2.07767e-06	0.1838	0.182046
2.41376e-06	0.184	0.042572
2.77504e-06	0.1842	0.000704885
3.1615e-06	0.1844	3.55513e-06
3.57315e-06	0.1846	0
4.00998e-06	0.1848	0
4.472e-06	0.185	0
4.9592e-06	0.1852	3.23194e-07
5.47159e-06	0.1854	0
6.00916e-06	0.1856	6.46387e-07
6.57192e-06	0.1858	3.23194e-07
7.15986e-06	0.186	3.23194e-07
7.77299e-06	0.1862	3.23194e-07
8.4113e-06	0.1864	3.23194e-07
9.0748e-06	0.1866	1.93916e-06
9.76348e-06	0.1868	2.26236e-06
1.04774e-05	0.187	1.93916e-06
1.12164e-05	0.1872	0.000435988
1.19806e-05	0.1874	0.0202988
1.27701e-05	0.1876	0.0350122
1.35847e-05	0.1878	0.00547167
1.44245e-05	0.188	3.84601e-05
1.52894e-05	0.1882	9.69581e-07
1.61796e-05	0.1884	3.23194e-07
1.7095e-05	0.1886	0
1.80355e-05	0.1888	0
1.90012e-05	0.189	0
1.99921e-05	0.1892	0
2.10082e-05	0.1894	0
2.20495e-05	0.1896	3.23194e-07
2.31159e-05	0.1898	0
2.42076e-05	0.19	0
2.53244e-05	0.1902	3.23194e-07
2.64664e-05	0.1904	0
2.76336e-05	0.1906	6.46387e-07
2.8826e-05	0.1908	0
3.00436e-05	0.191	0
3.12863e-05	0.1912	0
3.25542e-05	0.1914	3.23194e-07
3.38474e-05	0.1916	3.23194e-07
3.51657e-05	0.1918	0
3.65092e-05	0.192	0
3.78778e-05	0.1922	0
3.92717e-05	0.1924	0
4.06907e-05	0.1926	0
4.2135e-05	0.1928	0
4.36044e-05	0.193	3.23194e-07
4.5099e-05	0.1932	3.23194e-07
4.66188e-05	0.1934	9.69581e-07
4.81638e-05	0.1936	0
4.97339e-05	0.1938	3.23194e-07
5.13293e-05	0.194	0
5.29498e-05	0.1942	3.23194e-07
5.45955e-05	0.1944	3.23194e-07
5.62664e-05	0.1946	9.69581e-07
5.79625e-05	0.1948	0
5.96837e-05	0.195	3.23194e-07
6.14302e-05	0.1952	0
6.32018e-05	0.1954	3.23194e-07
6.49987e-05	0.1956	0
6.68207e-05	0.1958	0
6.86679e-05	0.196	6.46387e-07
7.05402e-05	0.1962	0
7.24378e-05	0.1964	3.23194e-07
7.43605e-05	0.1966	3.23194e-07
7.63085e-05	0.1968	3.23194e-07
7.82816e-05	0.197	0
8.02799e-05	0.1972	0
8.23034e-05	0.1974	3.23194e-07
8.43521e-05	0.1976	3.23194e-07
8.64259e-05	0.1978	0
8.8525e-05	0.198	0
9.06492e-05	0.1982	0
9.27986e-05	0.1984	3.23194e-07
9.49732e-05	0.1986	0
9.7173e-05	0.1988	0
9.93979e-05	0.199	3.23194e-07
0.000101648	0.1992	0
0.000103923	0.1994	0
0.000106224	0.1996	0
0.00010855	0.1998	3.23194e-07
