Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.001,,,
Sample Interval,1.92012e-06,,,
Filter Frequency,7e+07,,,
Record Length,5208,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.5,,0.05,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-3.983e-03,-0.22,-0.24,-0.006,-0.01
-3.981e-03,-0.22,-0.18,-0.004,0.002
-3.979e-03,-0.2,-0.24,-4.76837e-10,-0.01
-3.977e-03,-0.22,-0.18,-0.006,0.004
-3.975e-03,-0.22,-0.26,-0.006,-0.01
-3.973e-03,-0.22,-0.2,-0.004,0.002
-3.971e-03,-0.22,-0.26,-0.002,-0.01
-3.969e-03,-0.22,-0.2,-0.004,0.002
-3.967e-03,-0.2,-0.26,-0.004,-0.008
-3.965e-03,-0.22,-0.18,-4.76837e-10,0.002
-3.963e-03,-0.22,-0.24,-0.004,-0.008
-3.961e-03,-0.22,-0.2,-0.002,0.002
-3.959e-03,-0.22,-0.26,-0.004,-0.01
-3.958e-03,-0.22,-0.2,-0.004,0.002
-3.956e-03,-0.22,-0.26,-0.004,-0.01
-3.954e-03,-0.22,-0.2,-0.004,0.002
-3.952e-03,-0.22,-0.26,-0.004,-0.01
-3.950e-03,-0.22,-0.2,-0.004,0.002
-3.948e-03,-0.24,-0.26,-0.002,-0.008
-3.946e-03,-0.24,-0.2,-0.004,0.002
-3.944e-03,-0.22,-0.26,-0.004,-0.01
-3.942e-03,-0.22,-0.2,-0.002,0.002
-3.940e-03,-0.24,-0.26,-0.002,-0.01
-3.938e-03,-0.22,-0.2,-0.004,0.002
-3.936e-03,-0.22,-0.26,-0.006,-0.01
-3.935e-03,-0.22,-0.2,-0.004,0.002
-3.933e-03,-0.24,-0.26,-0.002,-0.01
-3.931e-03,-0.24,-0.2,-0.002,0.002
-3.929e-03,-0.22,-0.26,-0.004,-0.01
-3.927e-03,-0.2,-0.18,-0.006,0.002
-3.925e-03,-0.22,-0.24,-0.004,-0.008
-3.923e-03,-0.22,-0.2,-0.004,0.002
-3.921e-03,-0.22,-0.26,-0.004,-0.01
-3.919e-03,-0.22,-0.2,-0.004,0.002
-3.917e-03,-0.24,-0.26,-0.002,-0.01
-3.915e-03,-0.22,-0.2,-0.002,0.002
-3.913e-03,-0.24,-0.26,-0.006,-0.01
