Model,DPO2002B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.001,,,
Sample Interval,1.92012e-06,,,
Filter Frequency,7e+07,,,
Record Length,5208,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.5,,0.05,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-3.829e-03,-0.28,-0.28,-0.001,0.000999998
-3.827e-03,-0.3,-0.34,-0.003,-0.011
-3.825e-03,-0.3,-0.28,-0.003,0.003
-3.823e-03,-0.3,-0.34,-0.005,-0.009
-3.821e-03,-0.3,-0.28,-0.003,0.003
-3.819e-03,-0.3,-0.34,-0.003,-0.009
-3.817e-03,-0.3,-0.28,-0.007,0.000999998
-3.815e-03,-0.3,-0.32,-0.005,-0.011
-3.814e-03,-0.28,-0.28,-0.005,0.003
-3.812e-03,-0.3,-0.34,-0.007,-0.009
-3.810e-03,-0.3,-0.28,-0.009,0.000999998
-3.808e-03,-0.3,-0.34,-0.001,-0.009
-3.806e-03,-0.3,-0.28,-0.003,0.000999998
-3.804e-03,-0.3,-0.34,-0.005,-0.011
-3.802e-03,-0.3,-0.28,-0.003,0.003
-3.800e-03,-0.3,-0.34,-0.005,-0.011
-3.798e-03,-0.32,-0.28,-0.009,0.000999998
-3.796e-03,-0.32,-0.34,-0.007,-0.009
-3.794e-03,-0.3,-0.28,-0.005,0.000999998
-3.792e-03,-0.3,-0.34,-0.005,-0.011
-3.791e-03,-0.3,-0.28,-0.005,0.003
-3.789e-03,-0.32,-0.34,-0.005,-0.009
-3.787e-03,-0.32,-0.28,-0.005,0.000999998
-3.785e-03,-0.3,-0.34,-0.005,-0.009
-3.783e-03,-0.3,-0.28,-0.005,0.003
-3.781e-03,-0.3,-0.34,-0.005,-0.011
-3.779e-03,-0.32,-0.28,-0.005,0.000999998
-3.777e-03,-0.3,-0.34,-0.003,-0.011
-3.775e-03,-0.32,-0.28,-0.003,0.003
-3.773e-03,-0.32,-0.34,-0.005,-0.009
-3.771e-03,-0.3,-0.28,-0.003,0.000999998
-3.769e-03,-0.3,-0.34,-0.005,-0.009
-3.767e-03,-0.3,-0.28,-0.005,0.000999998
-3.766e-03,-0.3,-0.36,-0.003,-0.009
-3.764e-03,-0.32,-0.28,-0.003,0.003
-3.762e-03,-0.32,-0.36,-0.001,-0.009
-3.760e-03,-0.32,-0.3,-0.003,0.000999998
-3.758e-03,-0.32,-0.36,-0.007,-0.011
-3.756e-03,-0.32,-0.3,-0.007,0.000999998
-3.754e-03,-0.32,-0.36,-0.005,-0.011
-3.752e-03,-0.32,-0.3,-0.005,0.003
-3.750e-03,-0.32,-0.36,-0.003,-0.009
-3.748e-03,-0.32,-0.3,-0.003,0.000999998
-3.746e-03,-0.3,-0.36,-0.005,-0.009
-3.744e-03,-0.3,-0.28,-0.005,0.003
-3.743e-03,-0.32,-0.36,-0.003,-0.011
-3.741e-03,-0.3,-0.3,-0.003,0.003
-3.739e-03,-0.32,-0.36,-0.007,-0.009
-3.737e-03,-0.3,-0.3,-0.003,0.003
-3.735e-03,-0.32,-0.36,0.000999998,-0.009
-3.733e-03,-0.32,-0.3,-0.005,0.003
-3.731e-03,-0.34,-0.36,-0.005,-0.009
-3.729e-03,-0.32,-0.3,-0.003,0.003
-3.727e-03,-0.32,-0.36,-0.007,-0.011
-3.725e-03,-0.3,-0.3,-0.003,0.000999998
-3.723e-03,-0.32,-0.36,-0.005,-0.009
-3.721e-03,-0.34,-0.3,-0.003,0.003
-3.719e-03,-0.32,-0.36,-0.005,-0.009
-3.718e-03,-0.34,-0.3,-0.001,0.003
-3.716e-03,-0.32,-0.36,-0.003,-0.011
-3.714e-03,-0.34,-0.3,-0.007,0.000999998
-3.712e-03,-0.32,-0.36,-0.005,-0.009
-3.710e-03,-0.32,-0.3,-0.005,0.000999998
-3.708e-03,-0.34,-0.36,-0.005,-0.009
-3.706e-03,-0.32,-0.3,-0.005,0.000999998
-3.704e-03,-0.34,-0.36,-0.001,-0.009
-3.702e-03,-0.32,-0.3,-0.003,0.000999998
-3.700e-03,-0.32,-0.36,-0.003,-0.009
-3.698e-03,-0.32,-0.3,-0.005,0.000999998
-3.696e-03,-0.32,-0.36,-0.005,-0.011
-3.695e-03,-0.32,-0.3,-0.001,0.000999998
-3.693e-03,-0.34,-0.36,-0.007,-0.009
-3.691e-03,-0.32,-0.3,-0.005,0.000999998
-3.689e-03,-0.34,-0.36,-0.001,-0.011
-3.687e-03,-0.32,-0.3,-0.005,0.000999998
-3.685e-03,-0.34,-0.36,-0.003,-0.011
-3.683e-03,-0.32,-0.3,-0.007,0.003
-3.681e-03,-0.34,-0.38,-0.007,-0.009
-3.679e-03,-0.34,-0.32,-0.003,0.000999998
-3.677e-03,-0.32,-0.38,-0.005,-0.009
-3.675e-03,-0.34,-0.3,-0.005,0.003
-3.673e-03,-0.34,-0.38,-0.005,-0.009
-3.671e-03,-0.34,-0.3,-0.005,0.000999998
-3.670e-03,-0.34,-0.38,-0.003,-0.009
-3.668e-03,-0.34,-0.32,-0.005,0.000999998
-3.666e-03,-0.34,-0.38,-0.001,-0.009
-3.664e-03,-0.32,-0.32,-0.007,0.000999998
-3.662e-03,-0.34,-0.38,-0.005,-0.009
-3.660e-03,-0.34,-0.32,-0.007,0.003
-3.658e-03,-0.34,-0.38,-0.003,-0.009
-3.656e-03,-0.32,-0.32,0.000999998,0.003
-3.654e-03,-0.34,-0.38,-0.005,-0.011
-3.652e-03,-0.34,-0.32,-0.007,0.003
-3.650e-03,-0.34,-0.38,-0.005,-0.011
-3.648e-03,-0.34,-0.32,-0.003,0.000999998
-3.647e-03,-0.36,-0.38,-0.003,-0.009
-3.645e-03,-0.34,-0.32,-0.007,0.000999998
-3.643e-03,-0.36,-0.38,-0.003,-0.009
-3.641e-03,-0.34,-0.32,-0.003,0.003
-3.639e-03,-0.34,-0.38,-0.001,-0.011
